ticker,date,action,return_pct,is_correct,label,confidence,final_score,grade,total_score
1377.T,2024-09-30,buy,0.2832900550079873,False,neutral,0.5561678367736661,0.38931748574156627,A,79.16666666666666
1377.T,2024-12-04,buy,-1.1610994507016181,False,neutral,0.6624280959892842,0.4636996671924989,A,79.16666666666666
1377.T,2025-01-29,buy,-7.0941290000072845,False,incorrect,0.7389758385439327,0.5172830869807529,A,79.16666666666666
1377.T,2025-03-24,buy,-2.0408118307651266,False,incorrect,0.6610360098415294,0.46272520688907054,A,79.16666666666666
1377.T,2025-04-28,buy,5.12093321472605,True,correct,0.5277914978460355,0.36945404849222485,A,79.16666666666666
1379.T,2021-11-05,buy,-1.58486951100463,False,neutral,0.566519997543977,0.39656399828078387,A,70.16369047619048
1379.T,2022-06-06,buy,1.6188038536607539,False,neutral,0.5258191833008524,0.3680734283105967,A,70.16369047619048
1381.T,2024-02-13,buy,0.9036119532703455,False,neutral,0.5037049989232026,0.35259349924624184,B,66.45833333333334
1381.T,2024-02-28,buy,0.9740271981614782,False,neutral,0.5167298807029111,0.3617109164920378,B,66.45833333333334
1384.T,2022-07-19,buy,0.4909966491852682,False,neutral,0.62167116210106,0.43516981347074196,A,83.33333333333333
1384.T,2022-10-24,buy,14.473680209735956,True,correct,0.6672129239291893,0.46704904675043246,A,83.33333333333333
1401.T,2023-09-28,buy,0.5649710088213241,False,neutral,0.5099138984021562,0.35693972888150927,B,66.6305963449042
1401.T,2023-11-28,buy,-6.732336221843589,False,incorrect,0.5045304732485201,0.35317133127396405,B,66.6305963449042
1401.T,2024-01-22,buy,14.218010998830755,True,correct,0.5001042281395452,0.35007295969768165,B,66.6305963449042
1414.T,2023-11-28,buy,3.0428851318456984,True,correct,0.5375402377755295,0.37627816644287065,B,68.12804786430226
1414.T,2024-01-15,buy,-9.32042181685157,False,incorrect,0.5069370857454336,0.35485596002180353,B,68.12804786430226
1414.T,2024-03-21,buy,-8.959578375093187,False,incorrect,0.5060929445524882,0.3542650611867417,B,68.12804786430226
1414.T,2025-12-29,buy,5.532558361272636,True,correct,0.5177549010879038,0.36242843076153264,B,67.06671326316702
1414.T,2026-01-16,buy,-3.4554281521665406,False,incorrect,0.540547077156007,0.3783829540092049,B,67.06671326316702
1414.T,2026-01-30,buy,-0.21605657549879326,False,neutral,0.5179631907295792,0.3625742335107054,B,67.06671326316702
1414.T,2026-02-24,buy,-1.3286762135184105,False,neutral,0.5250438940148205,0.3675307258103744,B,67.06671326316702
1417.T,2021-11-05,buy,-7.459965085791113,False,incorrect,0.5270772948294232,0.3689541063805962,A,71.09160519580155
1417.T,2022-07-26,buy,-3.273804907596972,False,incorrect,0.5208460621284001,0.36459224348988006,A,70.9505491339806
1417.T,2022-08-17,buy,-5.482865372858009,False,incorrect,0.5125355078407842,0.35877485548854887,A,70.9505491339806
1417.T,2022-11-22,buy,-0.19659666681280416,False,neutral,0.5314448084529058,0.372011365917034,A,70.9505491339806
1417.T,2023-02-20,buy,9.70744287307098,True,correct,0.5339426277709316,0.3737598394396521,A,70.9505491339806
1417.T,2023-03-07,buy,1.7851487156042634,False,neutral,0.5724099336060229,0.400686953524216,A,70.9505491339806
1417.T,2023-04-05,buy,2.1046254747541435,True,correct,0.5622750976999782,0.3935925683899847,A,70.9505491339806
1418.T,2021-11-29,sell,-11.827948601181989,True,correct,0.5454599166499612,-0.3818219416549728,D,25.55141245843136
1418.T,2022-01-20,sell,1.7647045130851438,False,neutral,0.6620704691843636,-0.4634493284290545,D,25.55141245843136
1418.T,2022-02-28,sell,7.45341657467498,False,incorrect,0.6101066939536351,-0.4270746857675446,D,25.55141245843136
1418.T,2022-05-23,sell,-1.1975938462182132,False,neutral,0.5586875500563461,-0.39108128503944223,D,25.55141245843136
1418.T,2024-12-25,buy,5.82524714607282,True,correct,0.504534431428133,0.35317410199969307,B,67.58573866589046
1418.T,2025-01-29,buy,12.767789524695777,True,correct,0.5116215277228116,0.35813506940596807,B,67.58573866589046
1418.T,2025-03-24,buy,-1.58311947484785,False,neutral,0.5160273822741496,0.36121916759190464,B,67.58573866589046
1418.T,2025-06-05,buy,-4.938282362986046,False,incorrect,0.5012331430120879,0.3508632001084615,B,67.58573866589046
1420.T,2021-11-29,sell,1.8258499291430055,False,neutral,0.5676744536730768,-0.39737211757115376,E,24.76136468306889
1420.T,2021-12-13,sell,2.206895947549935,False,incorrect,0.5667372012585098,-0.39671604088095686,E,24.76136468306889
1420.T,2022-01-20,sell,2.3129219769959812,False,incorrect,0.5560077413939571,-0.38920541897577,E,24.76136468306889
1420.T,2022-02-28,sell,0.7912440077952492,False,neutral,0.5105678898059447,-0.35739752286416127,E,24.76136468306889
1420.T,2022-05-09,sell,-0.9459504038645622,False,neutral,0.5074482614547695,-0.3552137830183386,E,24.76136468306889
